08-11,,,,FORM CMS-2552-10,,,,,,      4090 (Cont.)
APPORTIONMENT OF INPATIENT ROUTINE,,,,, PROVIDER CCN:,, PERIOD:,," WORKSHEET D,",
SERVICE CAPITAL COSTS,,,,,,, FROM ____________,, PART I,
,,,,, ________________,, TO _______________,,,
Check,,   [ ] Title V,   [ ] PPS,,,,,,,
applicable ,,"   [ ] Title XVIII, Part A",   [ ] TEFRA,,,,,,,
boxes:,,   [ ] Title XIX ,,,,,,,,
,,,,,Reduced,,,,Inpatient,
,,,Capital,,Capital,,,,Program,
,,,Related Cost,,Related,,Per,,Capital,
,,,(from Wkst.,Swing,Cost,Total,Diem,Inpatient,Cost,
,,,"B, Part II,",Bed,(col. 1 minus,Patient,(col. 3 ÷,Program,(col. 5,
,,,col. 26),Adjustment,col. 2),Days,col. 4),Days,x col. 6),
(A),Cost Center Description     ,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,
,INPATIENT ROUTNE SERVICE COST CENTERS,,,,,,,,,
, Adults & Pediatrics,,,,,,,,,
30 , (General Routine Care),,,,,,,,,30 
,,,,,,,,,,
31 , Intensive Care Unit,,,,,,,,,31 
,,,,,,,,,,
32 , Coronary Care Unit,,,,,,,,,32 
,,,,,,,,,,
33 , Burn Intensive Care Unit,,,,,,,,,33 
,,,,,,,,,,
34 , Surgical Intensive Care Unit,,,,,,,,,34 
,,,,,,,,,,
35 , Other Special Care Unit (specify),,,,,,,,,35 
,,,,,,,,,,
40 ,Subprovider IPF,,,,,,,,,40 
,,,,,,,,,,
41 ,Subprovider IRF,,,,,,,,,41 
,,,,,,,,,,
42 , Subprovider (Other),,,,,,,,,42 
,,,,,,,,,,
43 , Nursery,,,,,,,,,43 
,,,,,,,,,,
44 , Skilled Nursing Facility,,,,,,,,,44 
,,,,,,,,,,
45 , Nursing Facility,,,,,,,,,45 
,,,,,,,,,,
200 , Total (lines 30-199),,,,,,,,,200 
,,,,,,,,,,
(A) Worksheet A line numbers,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTIONS 4024 - 4024.1)",,,,,,,,,,
Rev. 2,,,,,,,,,,40-567
